invoiceKey,truthPartNumber,scorerTopPartNumber,agree,scorerScore,scorerBand,scorerMatchedOn
accounting:BT.BIT 484,RED-PEN-RED-ST-50,RED-PEN-RED-ST-50,yes,53,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 485,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,53,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 486,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 487,RED-PEN-S-G-1,BLUE-MDR-C-100,no,39,MEDIUM-ish,amount~final data final (59d)
accounting:BT.BIT 488,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
accounting:BT.BIT 492,RED-VA-I-S-25,RED-VA-I-S-25,yes,30,MEDIUM-ish,amount~avans
accounting:BT.BIT 496,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 497,RED-PEN-S-G-1,BLUE-MDR-C-100,no,39,MEDIUM-ish,amount~final data final (85d)
accounting:BT.BIT 498,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
accounting:BT.BIT 500,PHISH-P-L-MM-S-200-12,RED-NIS-C-PEN-10,no,23,LOW-ish,amount~avans
accounting:BT.BIT 508,RED-PEN-B-E-B-15,RED-PEN-B-E-B-15,yes,53,MEDIUM-ish,amount~avans data avans (0d)
accounting:BT.BIT 509.,RED-PEN-S-B-1,RED-PEN-S-B-1,yes,45,MEDIUM-ish,amount~avans data final (0d)
accounting:BT.BIT 513,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
accounting:BT.BIT 514,RED-PEN-S-G-1,BLUE-MDR-C-100,no,39,MEDIUM-ish,amount~final data final (119d)
accounting:BT.BIT 515,RED-PEN-B-I-BP-50,BLUE-MDR-C-100,no,31,MEDIUM-ish,amount~final
accounting:BT.BIT 518,RED-PEN-RED-ST-50,RED-PEN-RED-ST-50,yes,46,MEDIUM-ish,amount~final data final (14d)
accounting:BT.BIT 528,RED-PEN-S-G-1,RED-C-M-MM-16,no,30,MEDIUM-ish,amount~final
