organization,partNumber,trackerRow,milestone,expectedDate,dateSource,trackerAmount,contractRef,accountingStatus,trackerFacturatFlag,flagDiscrepancy,matchedInvoiceNumber,matchedInvoiceSource,matchedInvoiceDate,dateGapDays
Carrefour Global Sourcing Asia Limited,RED-PEN-B-E-B-2,1255,final,2026-03-30,actual,880.00,5.11.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 196,valuta,2026-03-30,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-S-B-1,844,final,2022-12-15,actual,9000.00,1024CRF / 18.10.2022,INVOICED_ACCOUNTING,Da,,429,ron,2022-12-15,0
"CARREFOUR ROMÂNIA S.A.,",RED-AUDIT-A-3,845,final,2023-10-30,actual,22500.00,NR. 1 DIN 19.06.2023,INVOICED_ACCOUNTING,Da,,BT.BIT 548,ron,2023-11-01,2
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-I-B-20,1248,final,2024-07-02,actual,6750.00,26.4.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 675,ron,2024-07-02,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-5,1250,final,2024-07-02,actual,3520.00,14.6.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 676,ron,2024-07-02,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-5,1251,final,2024-07-02,actual,5280.00,4.6.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 677,ron,2024-07-02,0
"CARREFOUR ROMÂNIA S.A.,",BLUE-IR-20,1249,final,2024-09-02,actual,6600.00,21.5.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 699,ron,2024-09-02,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-30,1252,final,2024-09-18,actual,4620.00,17.09.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 713,ron,2024-09-27,9
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-5,1253,final,2024-12-10,actual,1300.00,30.8.2024,INVOICED_ACCOUNTING,Da,,BT.BIT 771,ron,2024-12-10,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-3,1263,final,2025-05-12,actual,1320.00,08.05.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 877,ron,2025-05-12,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-10,1264,final,2025-06-16,actual,4400.00,3.6.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 900,ron,2025-06-16,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-12,1265,final,2025-10-08,actual,5280.00,07.10.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 961,ron,2025-10-08,0
"CARREFOUR ROMÂNIA S.A.,",RED-PEN-B-E-B-6,1266,final,2026-04-14,actual,2640.00,08.04.2026,INVOICED_ACCOUNTING,Da,,BT.BIT 1061,ron,2026-04-14,0
CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY,RED-PEN-B-E-B-20,1256,final,2025-04-08,actual,8800.00,23.1.2025,INVOICED_ACCOUNTING,Da,,BT.BIT 233,valuta,2025-04-09,1
CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY,RED-PEN-B-E-B-12,1257,final,2025-10-23,actual,5280.00,22.10.2025,INVOICED_ACCOUNTING,Da,,BT.R.BIT 259,valuta,2025-10-23,0
CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY,RED-PEN-B-E-B-4,1258,final,2026-03-27,actual,1760.00,6.3.2026,INVOICED_ACCOUNTING,Da,,BT.BIT 194,valuta,2026-03-27,0
CARREFOUR SYSTEMES D'INFORMATION 0552 MASSY,RED-PEN-B-E-B-20,1259,final,2026-04-21,actual,8800.00,16.4.2026,INVOICED_ACCOUNTING,Da,,BT.BIT 199,valuta,2026-04-21,0
